3.8700	2.65930413e-10
3.8800	2.62353293e-10
3.8900	2.58664504e-10
3.9000	2.54938021e-10
3.9100	2.51075360e-10
3.9200	2.46718434e-10
3.9300	2.41288629e-10
3.9400	2.34170044e-10
3.9500	2.24941162e-10
3.9600	2.13512764e-10
3.9700	2.00099732e-10
3.9800	1.85072837e-10
3.9900	1.68800296e-10
4.0000	1.51565410e-10
4.0100	1.33580068e-10
4.0200	1.15057569e-10
4.0300	9.62827212e-11
4.0400	7.76199386e-11
4.0500	5.94294836e-11
4.0600	4.19178233e-11
4.0700	2.50090063e-11
4.0800	8.33968985e-12
4.0900	-8.58712481e-12
4.1000	-2.61695281e-11
4.1100	-4.45373949e-11
4.1200	-6.35371746e-11
4.1300	-8.28476319e-11
4.1400	-1.02128108e-10
4.1500	-1.21109105e-10
4.1600	-1.39593839e-10
4.1700	-1.57396397e-10
4.1800	-1.74272113e-10
4.1900	-1.89898159e-10
4.2000	-2.03939093e-10
4.2100	-2.16182865e-10
4.2200	-2.26673913e-10
4.2300	-2.35745991e-10
4.2400	-2.43908406e-10
4.2500	-2.51642811e-10
4.2600	-2.59235087e-10
4.2700	-2.66733272e-10
4.2800	-2.74023283e-10
4.2900	-2.80942681e-10
4.3000	-2.87358310e-10
4.3100	-2.93187136e-10
4.3200	-2.98383657e-10
4.3300	-3.02922252e-10
4.3400	-3.06780722e-10
4.3500	-3.09913521e-10
4.3600	-3.12211196e-10
4.3700	-3.13469083e-10
4.3800	-3.13402656e-10
4.3900	-3.11723734e-10
4.4000	-3.08243477e-10
4.4100	-3.02940082e-10
4.4200	-2.95951527e-10
4.4300	-2.87505936e-10
4.4400	-2.77838004e-10
4.4500	-2.67137748e-10
4.4600	-2.55550866e-10
4.4700	-2.43220459e-10
4.4800	-2.30337959e-10
4.4900	-2.17160459e-10
4.5000	-2.03960353e-10
4.5100	-1.90910549e-10
4.5200	-1.77964088e-10
4.5300	-1.64818537e-10
4.5400	-1.51018066e-10
4.5500	-1.36149956e-10
4.5600	-1.20017186e-10
4.5700	-1.02687161e-10
4.5800	-8.44102280e-11
4.5900	-6.54842084e-11
4.6000	-4.61541955e-11
4.6100	-2.65926833e-11
4.6200	-6.94928395e-12
4.6300	1.25781581e-11
4.6400	3.17110692e-11
4.6500	5.01403501e-11
4.6600	6.76564617e-11
4.6700	8.42917446e-11
4.6800	1.00369412e-10
4.6900	1.16393192e-10
4.7000	1.32821015e-10
4.7100	1.49857768e-10
4.7200	1.67388609e-10
4.7300	1.85068647e-10
4.7400	2.02484475e-10
4.7500	2.19281295e-10
4.7600	2.35196694e-10
4.7700	2.50006601e-10
4.7800	2.63435262e-10
4.7900	2.75101198e-10
4.8000	2.84561698e-10
4.8100	2.91469760e-10
4.8200	2.95776421e-10
4.8300	2.97847588e-10
4.8400	2.98388963e-10
4.8500	2.98197479e-10
4.8600	2.97887592e-10
4.8700	2.97753395e-10
4.8800	2.97812509e-10
4.8900	2.97949654e-10
4.9000	2.98044908e-10
4.9100	2.98032358e-10
4.9200	2.97908766e-10
4.9300	2.97732135e-10
4.9400	2.97614668e-10
4.9500	2.97674461e-10
4.9600	2.97919648e-10
4.9700	2.98105597e-10
4.9800	2.97672245e-10
4.9900	2.95852796e-10
5.0000	2.91929480e-10
5.0100	2.85489752e-10
5.0200	2.76527688e-10
5.0300	2.65351835e-10
5.0400	2.52391308e-10
5.0500	2.38031029e-10
5.0600	2.22552448e-10
5.0700	2.06175235e-10
5.0800	1.89143157e-10
5.0900	1.71784511e-10
5.1000	1.54494120e-10
5.1100	1.37624441e-10
5.1200	1.21332410e-10
5.1300	1.05478039e-10
5.1400	8.96620776e-11
5.1500	7.34047512e-11
5.1600	5.63631365e-11
5.1700	3.84558033e-11
5.1800	1.98379023e-11
5.1900	7.75925355e-13
5.2000	-1.84796165e-11
5.2100	-3.77522178e-11
5.2200	-5.69168167e-11
5.2300	-7.58337349e-11
5.2400	-9.42962451e-11
5.2500	-1.12041395e-10
5.2600	-1.28839984e-10
5.2700	-1.44627408e-10
5.2800	-1.59589967e-10
5.2900	-1.74126665e-10
5.3000	-1.88683160e-10
5.3100	-2.03551190e-10
5.3200	-2.18755553e-10
5.3300	-2.34082589e-10
5.3400	-2.49204540e-10
5.3500	-2.63806807e-10
5.3600	-2.77649199e-10
5.3700	-2.90547938e-10
5.3800	-3.02310560e-10
5.3900	-3.12676881e-10
5.4000	-3.21317645e-10
5.4100	-3.27916802e-10
5.4200	-3.32312596e-10
5.4300	-3.34617855e-10
5.4400	-3.35228273e-10
