时间(s)	加速度(m/s^2)
2.9200	1.86550732e-11
2.9300	1.43910072e-09
2.9400	2.92442669e-09
2.9500	3.01229298e-09
2.9600	2.38146571e-09
2.9700	5.89589409e-10
2.9800	-1.54210612e-09
2.9900	-2.75266143e-09
3.0000	-3.84562437e-09
3.0100	-2.78114692e-09
3.0200	-1.62811856e-09
3.0300	2.18558655e-10
3.0400	1.81078402e-09
3.0500	2.53363223e-09
3.0600	2.71255949e-09
3.0700	1.83386269e-09
3.0800	6.93873559e-10
3.0900	-7.61843818e-10
3.1000	-1.73573851e-09
3.1100	-2.34023582e-09
3.1200	-1.91800660e-09
3.1300	-1.01093430e-09
3.1400	4.50148300e-10
3.1500	2.05632884e-09
3.1600	2.73328149e-09
3.1700	3.27934489e-09
3.1800	2.05248451e-09
3.1900	7.61080593e-10
3.2000	-9.54466563e-10
3.2100	-2.30934080e-09
3.2200	-2.55445222e-09
3.2300	-2.24047923e-09
3.2400	-9.26039404e-10
3.2500	2.31577598e-10
3.2600	1.21355304e-09
3.2700	1.25636398e-09
3.2800	6.32671091e-10
3.2900	-4.07978633e-10
3.3000	-1.62893402e-09
3.3100	-1.92748677e-09
3.3200	-2.01152728e-09
3.3300	-9.93117487e-10
3.3400	1.04687943e-10
3.3500	9.32185441e-10
3.3600	1.59196592e-09
3.3700	1.30833820e-09
3.3800	9.32629220e-10
3.3900	3.00408181e-10
3.4000	-9.23991355e-11
3.4100	-9.01738088e-11
3.4200	1.22352698e-10
3.4300	5.53268892e-10
3.4400	7.08772612e-10
3.4500	6.83536895e-10
3.4600	2.48779289e-10
3.4700	-3.47631694e-10
3.4800	-7.15028977e-10
3.4900	-1.03558255e-09
3.5000	-6.03078534e-10
3.5100	-1.18351073e-10
3.5200	4.83709556e-10
3.5300	9.43563066e-10
3.5400	7.08181763e-10
3.5500	3.04482227e-10
3.5600	-5.25623502e-10
3.5700	-1.08639345e-09
3.5800	-1.23674696e-09
3.5900	-8.32646118e-10
3.6000	1.05373728e-10
3.6100	8.86038759e-10
3.6200	1.57133724e-09
3.6300	1.13642204e-09
3.6400	2.99378866e-10
3.6500	-1.03332250e-09
3.6600	-2.45414088e-09
3.6700	-2.40318220e-09
3.6800	-2.16779130e-09
3.6900	-3.80135854e-10
3.7000	1.28458851e-09
3.7100	2.42070924e-09
3.7200	2.90670867e-09
3.7300	1.88930255e-09
3.7400	6.37369691e-10
3.7500	-9.45032663e-10
3.7600	-1.62751230e-09
3.7700	-1.50648951e-09
3.7800	-6.13492640e-10
3.7900	7.10901507e-10
3.8000	1.20931856e-09
3.8100	1.43929306e-09
3.8200	4.44837484e-10
3.8300	-7.35944408e-10
3.8400	-1.27238771e-09
3.8500	-1.65212899e-09
3.8600	-6.46485639e-10
3.8700	3.01113357e-10
3.8800	1.02708845e-09
3.8900	1.22272872e-09
3.9000	2.95307010e-10
3.9100	-7.14675506e-10
3.9200	-1.83234604e-09
3.9300	-2.04615048e-09
3.9400	-1.51192783e-09
3.9500	-4.75122839e-10
3.9600	8.20153069e-10
3.9700	1.11741951e-09
3.9800	1.12258563e-09
3.9900	2.61457773e-10
4.0000	-7.10260801e-10
4.0100	-6.37089958e-10
4.0200	-4.37610225e-10
4.0300	7.51289148e-10
4.0400	1.72140847e-09
4.0500	1.94402929e-09
4.0600	1.65508966e-09
4.0700	3.71449176e-10
4.0800	-6.55971414e-10
4.0900	-1.37379297e-09
4.1000	-1.15094136e-09
4.1100	-2.06906990e-10
4.1200	5.78394434e-10
4.1300	1.28873864e-09
4.1400	5.55432351e-10
4.1500	-5.55972871e-10
4.1600	-1.74189005e-09
4.1700	-2.89288469e-09
4.1800	-1.82430108e-09
4.1900	-6.13809010e-10
